individual,group,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Malawi,Afrotropics,0,0.004064276,0,0,0,0,0,0,0,0,0,0
Benin,Afrotropics,0.003727036,0,0,0,0.003727036,0,0,0,0,0,0,0
Somalia,Afrotropics,0.032444975,0,0,0,0.000340146,0,0,0,0,0,0,0
São Tomé and Príncipe,Afrotropics,0,0.00101964,0,0.060862576,0,0,0,0.008424741,0,0,0,0
Zambia,Afrotropics,0.078540611,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,Afrotropics,0.001698073,0.000340146,0.115018791,0,0.00101964,0,0.041198134,0,0.000340146,0,0.064104062,0
South Sudan,Afrotropics,0.010754674,0.013072175,0,0.007422359,0.148427311,0.003051768,0.000680026,0.001358989,0.181917545,0.041816661,0.009091713,0.076833351
Angola,Afrotropics,0.055206022,0,0.003051768,0,0.123550928,0,0.001698073,0,0.408770153,0,0.003389533,0
Togo,Afrotropics,0.138399724,0.427224308,0.0872561,0.223100843,0.057298597,0.009091713,0.023833988,0.030228839,0,0,0,0
Burundi,Afrotropics,0.244936389,0.043974592,0.50367652,0.168044686,0.202036603,0,0.2155023,0.000680026,0,0,0,0
Rwanda,Afrotropics,0.295156758,0.178321418,0.557590997,0.56728321,0.012411293,0,0.131918667,0.002375448,0,0,0.114234765,0.023189294
Equatorial Guinea,Afrotropics,0,0.000340146,0,0.001698073,0.14818547,0.076262769,0.030228839,0.125084376,0.658995864,1.072835261,0.017343567,0.24686806
Uganda,Afrotropics,0.937778567,0.160350791,1.125884996,0.419910594,0.136912657,0,0.320284067,0,0.013072175,0.00101964,0.035904786,0.005410627
Guinea,Afrotropics,0.371359041,1.019281712,0.150357203,1.12776536,0.054306108,0.015705692,0.005746563,0.004401256,0,0.004737973,0,0.011086504
Kenya,Afrotropics,0.49809244,0.195794739,1.019346808,0.976308405,0.295673818,0.032760644,0.85324968,0.19536094,0.153952798,0.068776176,0.536247527,0.273227748
Central African Republic,Afrotropics,1.527179243,0.419651722,0,0,0.07425981,0,0,0,0.079675067,0,0,0
Sierra Leone,Afrotropics,0,1.24594986,0,1.3539757,0,0.022866587,0,0.028001336,0,0,0,0
Republic of the Congo,Afrotropics,0.225739351,0.033391296,0,0,1.293505121,0,0.039958432,0,1.330759172,0.278635571,0.003727036,0
Ethiopia,Afrotropics,0.784767879,1.33469744,0.79004202,0.971938259,0.161994258,0.1912181,0.044281995,0.042125594,0.041816661,0.064104062,0.039647953,0.04458918
Tanzania,Afrotropics,1.071798159,0.007087717,1.436195465,0.475920061,0.512024961,0,0.550368882,0.031179996,0.094980588,0,0.184372721,0
Mozambique,Afrotropics,1.662854377,0.050081678,0.999060171,0.412076523,0.007756743,0,0.012080474,0,0,0,0.00809087,0
Gabon,Afrotropics,0,0.00101964,0,0,0.615143463,0.216743563,0.022220454,0.000680026,1.614709144,1.095374445,0.113449322,0.110029223
Liberia,Afrotropics,0,1.562262901,0,1.420588243,0.024155977,0.155144744,0.005746563,0.185262082,0,0.004064276,0,0.022866587
Ghana,Afrotropics,1.175409529,0.506441864,0.847969898,0.771208881,1.412398019,0.123294826,0.892628405,0.178997964,0.539403688,0.008758355,0.257529456,0.00608224
Nigeria,Afrotropics,0.018323335,0.818707321,0,0.178095668,1.050336625,1.521287038,0.244161308,0.731405451,0.9017688,1.160054553,0.007756743,0.426715064
Cameroon,Afrotropics,0.13392316,1.014634808,0.134921947,0.860206651,1.530923159,1.203623832,0.601901464,0.925148191,1.360908473,0.817102997,0.028638932,0.568019882
Côte d'Ivoire,Afrotropics,1.278105173,0.843650595,1.075445835,1.33644161,1.500650811,0.261460956,1.253380003,0.540679355,0.137904601,0.010090254,0.054906258,0.046121855
Madagascar,Afrotropics,1.134283251,0.759823656,1.299982943,1.861895466,0.703091527,0.544678243,1.226071286,1.328768583,0.528456902,0.284860751,0.830127004,1.107921977
DRC,Afrotropics,1.955651976,1.641519834,1.420071153,1.270834293,1.712971671,0.346495345,0.953890679,0.133172559,1.183713654,0.789545102,0.405438419,0.251278565
Timor-Leste,Indomalayan_tropics,0.129399971,0.00101964,0.842478447,0.8222571,0.00101964,0,0.130409203,0.01141808,0,0,0,0
Bangladesh,Indomalayan_tropics,0.002036893,0.710974297,0,0.036843606,0.399240435,0.677403752,0.02576235,0.159173066,0.310073768,0.9120978,0.011749404,0.26811896
Sri Lanka,Indomalayan_tropics,0.783929234,0.917315714,0.988148099,1.061465866,0.139388281,0.20607799,0.263506197,1.02015968,0,0.054606287,0,0.838103904
Cambodia,Indomalayan_tropics,1.027727219,0.755841885,0.383487821,0.550273049,1.303600558,0.214257479,0.736116675,0.598398235,1.020744008,0.551230428,0.642959127,0.689116811
