individual,group,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Senegal,Afrotropics,0.018316525,0,0,0,0.010086468,0,0,0,0,0,0,0
Niger,Afrotropics,0.035578424,0,0,0,0,0,0,0,0,0,0,0
Gambia,Afrotropics,0.04793672,0,0,0,0,0,0,0,0,0,0,0
Sudan,Afrotropics,0.035264915,0,0,0,0.013726922,0,0,0,0,0,0,0
Eritrea,Afrotropics,0.133129025,0,0,0,0,0,0,0,0,0,0,0
Chad,Afrotropics,0.135376321,0,0,0,0.033379097,0,0,0,0,0,0,0
Somalia,Afrotropics,0.192034642,0,0,0,0,0,0,0,0,0,0,0
Mali,Afrotropics,0.249294442,0,0,0,0.052180361,0,0,0,0,0,0,0
Botswana,Afrotropics,0.166139562,0,0,0,0.090276178,0,0,0,0.143273823,0,0,0
Namibia,Afrotropics,0.215644892,0,0,0,0.159358221,0,0,0,0.167529474,0,0,0
Benin,Afrotropics,0.094401157,0.026073304,0,0,0.319709595,0.077945179,0,0,0,0,0,0
Guinea-Bissau,Afrotropics,0.554256026,0,0,0,0.139343024,0,0,0,0,0,0,0
Togo,Afrotropics,0.181413352,0.625779152,0,0,0.011745004,0.115762821,0,0,0,0,0,0
Malawi,Afrotropics,0.699643709,0,0,0,0.094401157,0,0,0,0,0,0,0
Zimbabwe,Afrotropics,0.689333599,0,0,0,0.232297675,0,0,0,0.000340017,0,0,0
Burundi,Afrotropics,0.377726543,0.716432,0,0,0.001358474,0.02511125,0,0,0,0,0,0
South Africa,Afrotropics,0.109463918,0,0,0,0.191815994,0,0,0,0.813841354,0,0,0
Rwanda,Afrotropics,0.064961011,0.910910373,0.0147145,0.177588475,0.010086468,0.100920699,0.005744397,0.026713492,0,0,0,0
South Sudan,Afrotropics,0.321984438,0,0,0,0.597759941,0.062022155,0,0,1.112494834,0.00169743,0,0
Equatorial Guinea,Afrotropics,0,0.008755064,0,0,0,0.076236222,0,0,0,1.237290651,0,0
Zambia,Afrotropics,1.054288207,0,0,0,1.205020769,0,0,0,0.122997904,0,0,0
Guinea,Afrotropics,1.339658395,1.319188755,0,0.70045804,0.085832582,0.035578424,0,0.007753825,0,0,0,0
Kenya,Afrotropics,1.357238524,1.04491214,0,0,1.091105669,0.509286523,0,0,0.237644069,0.050063724,0,0
Sierra Leone,Afrotropics,0.885722519,1.603366578,0,0,0.075665072,0.210647615,0,0,0,0,0,0
