individual,group,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Benin,Afrotropics,0.004064276,0,0,0,0.003727036,0,0,0,0,0,0,0
Malawi,Afrotropics,0.000340146,0.004737973,0,0.004401256,0,0,0,0,0,0,0,0
Somalia,Afrotropics,0.029275593,0,0.021249448,0,0.000340146,0,0,0,0,0,0,0
São Tomé and Príncipe,Afrotropics,0,0.001698073,0,0.062338978,0,0,0,0.008424741,0,0,0,0
Zambia,Afrotropics,0.094707066,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,Afrotropics,0,0,0.129399971,0,0,0,0.044281995,0,0.000680026,0,0.071670928,0
South Sudan,Afrotropics,0.018975289,0.003389533,0.00101964,0.012080474,0.130912941,0.012080474,0.020925296,0.006752816,0.170349511,0.033391296,0.023833988,0.098791914
Angola,Afrotropics,0.066154299,0,0.003727036,0,0.107114106,0,0.022543641,0,0.405973217,0,0.024477727,0
Togo,Afrotropics,0.307734612,0.278097809,0.178772566,0.183704503,0.053404326,0.021897026,0.002375448,0.043666972,0,0,0,0
Burundi,Afrotropics,0.230368568,0.023511761,0.548351936,0.097434562,0.196228104,0,0.223711154,0.004401256,0.000340146,0,0,0
Rwanda,Afrotropics,0.284153802,0.141849873,0.752004005,0.282913864,0.001698073,0.006417658,0.078540611,0.073111101,0,0,0.107645585,0.028001336
Equatorial Guinea,Afrotropics,0,0.000340146,0,0.001698073,0.055206022,0.168737419,0.009424815,0.131164591,0.624937623,1.087712635,0.005746563,0.221264748
Guinea,Afrotropics,0.599340903,0.8767878,0.409565981,1.152456107,0.044281995,0.035277776,0.00101964,0.007422359,0,0.005410627,0,0.013402239
Uganda,Afrotropics,0.80437094,0.062633658,1.247087929,0.250705816,0.119176522,0.001358989,0.336576287,0.005410627,0.00809087,0.000340146,0.036217951,0.003727036
Kenya,Afrotropics,0.420815432,0.091411297,1.188479887,0.790813875,0.20650122,0.054906258,0.83770852,0.377108918,0.138399724,0.073685835,0.553234081,0.287852514
Central African Republic,Afrotropics,1.553998853,0,0.012080474,0,0.077403183,0,0,0,0.088645588,0,0,0
